y,ds,unique_id
80.15,2024-01-16,PETROLEO
79.76,2024-01-15,PETROLEO
79.89,2024-01-12,PETROLEO
80.21,2024-01-11,PETROLEO
78.46,2024-01-10,PETROLEO
77.97,2024-01-09,PETROLEO
75.47,2024-01-08,PETROLEO
78.31,2024-01-05,PETROLEO
75.79,2024-01-04,PETROLEO
77.18,2024-01-03,PETROLEO
76.24,2024-01-02,PETROLEO
77.69,2023-12-29,PETROLEO
79.04,2023-12-28,PETROLEO
80.97,2023-12-27,PETROLEO
80.23,2023-12-26,PETROLEO
80.23,2023-12-22,PETROLEO
80.73,2023-12-21,PETROLEO
81.1,2023-12-20,PETROLEO
79.82,2023-12-19,PETROLEO
78.89,2023-12-18,PETROLEO
76.84,2023-12-15,PETROLEO
77.05,2023-12-14,PETROLEO
74.14,2023-12-13,PETROLEO
74.11,2023-12-12,PETROLEO
75.75,2023-12-11,PETROLEO
75.94,2023-12-08,PETROLEO
74.21,2023-12-07,PETROLEO
74.33,2023-12-06,PETROLEO
77.27,2023-12-05,PETROLEO
78.16,2023-12-04,PETROLEO
78.72,2023-12-01,PETROLEO
81.72,2023-11-30,PETROLEO
82.98,2023-11-29,PETROLEO
81.66,2023-11-28,PETROLEO
79.49,2023-11-27,PETROLEO
79.82,2023-11-24,PETROLEO
80.85,2023-11-23,PETROLEO
81.76,2023-11-22,PETROLEO
82.42,2023-11-21,PETROLEO
83.25,2023-11-20,PETROLEO
81.22,2023-11-17,PETROLEO
77.73,2023-11-16,PETROLEO
82.4,2023-11-15,PETROLEO
84.2,2023-11-14,PETROLEO
84.09,2023-11-13,PETROLEO
83.66,2023-11-10,PETROLEO
81.74,2023-11-09,PETROLEO
81.46,2023-11-08,PETROLEO
83.43,2023-11-07,PETROLEO
87.31,2023-11-06,PETROLEO
90.73,2023-10-30,PETROLEO
90.73,2023-10-27,PETROLEO
88.45,2023-10-26,PETROLEO
90.14,2023-10-25,PETROLEO
88.0,2023-10-24,PETROLEO
91.88,2023-10-23,PETROLEO
93.72,2023-10-20,PETROLEO
93.12,2023-10-19,PETROLEO
91.99,2023-10-18,PETROLEO
92.52,2023-10-17,PETROLEO
90.99,2023-10-16,PETROLEO
94.33,2023-10-13,PETROLEO
88.4,2023-10-12,PETROLEO
87.58,2023-10-11,PETROLEO
90.7,2023-10-10,PETROLEO
91.37,2023-10-09,PETROLEO
87.86,2023-10-06,PETROLEO
88.28,2023-10-05,PETROLEO
89.83,2023-10-04,PETROLEO
94.46,2023-10-03,PETROLEO
91.21,2023-10-02,PETROLEO
95.86,2023-09-29,PETROLEO
96.55,2023-09-28,PETROLEO
97.1,2023-09-27,PETROLEO
94.46,2023-09-26,PETROLEO
94.01,2023-09-25,PETROLEO
93.99,2023-09-22,PETROLEO
93.7,2023-09-21,PETROLEO
94.56,2023-09-20,PETROLEO
96.11,2023-09-19,PETROLEO
95.95,2023-09-18,PETROLEO
95.55,2023-09-15,PETROLEO
95.2,2023-09-14,PETROLEO
93.04,2023-09-13,PETROLEO
93.58,2023-09-12,PETROLEO
91.97,2023-09-11,PETROLEO
91.85,2023-09-08,PETROLEO
91.16,2023-09-07,PETROLEO
91.79,2023-09-06,PETROLEO
91.25,2023-09-05,PETROLEO
90.42,2023-09-04,PETROLEO
87.29,2023-08-31,PETROLEO
86.62,2023-08-30,PETROLEO
86.37,2023-08-29,PETROLEO
85.42,2023-08-25,PETROLEO
84.07,2023-08-24,PETROLEO
83.94,2023-08-23,PETROLEO
84.7,2023-08-22,PETROLEO
85.44,2023-08-21,PETROLEO
85.92,2023-08-18,PETROLEO
85.24,2023-08-17,PETROLEO
84.49,2023-08-16,PETROLEO
86.28,2023-08-15,PETROLEO
87.4,2023-08-14,PETROLEO
87.93,2023-08-11,PETROLEO
87.44,2023-08-10,PETROLEO
89.31,2023-08-09,PETROLEO
88.0,2023-08-08,PETROLEO
86.47,2023-08-07,PETROLEO
87.38,2023-08-04,PETROLEO
86.19,2023-08-03,PETROLEO
84.01,2023-08-02,PETROLEO
85.34,2023-08-01,PETROLEO
85.22,2023-07-31,PETROLEO
84.49,2023-07-28,PETROLEO
84.28,2023-07-27,PETROLEO
82.98,2023-07-26,PETROLEO
83.46,2023-07-25,PETROLEO
82.53,2023-07-24,PETROLEO
81.06,2023-07-21,PETROLEO
79.62,2023-07-20,PETROLEO
79.38,2023-07-19,PETROLEO
79.54,2023-07-18,PETROLEO
77.8,2023-07-17,PETROLEO
77.8,2023-07-15,PETROLEO
79.9,2023-07-14,PETROLEO
81.31,2023-07-13,PETROLEO
80.35,2023-07-12,PETROLEO
79.54,2023-07-11,PETROLEO
77.83,2023-07-10,PETROLEO
77.83,2023-07-08,PETROLEO
78.77,2023-07-07,PETROLEO
76.72,2023-07-06,PETROLEO
76.74,2023-07-05,PETROLEO
76.23,2023-07-04,PETROLEO
74.52,2023-07-03,PETROLEO
74.51,2023-06-30,PETROLEO
73.86,2023-06-29,PETROLEO
73.64,2023-06-28,PETROLEO
71.88,2023-06-27,PETROLEO
73.86,2023-06-26,PETROLEO
73.56,2023-06-23,PETROLEO
73.93,2023-06-22,PETROLEO
76.92,2023-06-21,PETROLEO
75.79,2023-06-20,PETROLEO
76.09,2023-06-19,PETROLEO
76.76,2023-06-16,PETROLEO
75.75,2023-06-15,PETROLEO
73.39,2023-06-14,PETROLEO
74.24,2023-06-13,PETROLEO
71.8,2023-06-12,PETROLEO
74.74,2023-06-09,PETROLEO
75.88,2023-06-08,PETROLEO
76.85,2023-06-07,PETROLEO
76.22,2023-06-06,PETROLEO
76.61,2023-06-05,PETROLEO
76.0,2023-06-02,PETROLEO
74.18,2023-06-01,PETROLEO
71.98,2023-05-31,PETROLEO
73.38,2023-05-30,PETROLEO
76.33,2023-05-26,PETROLEO
75.66,2023-05-25,PETROLEO
77.99,2023-05-24,PETROLEO
76.66,2023-05-23,PETROLEO
75.77,2023-05-22,PETROLEO
75.42,2023-05-19,PETROLEO
75.75,2023-05-18,PETROLEO
76.98,2023-05-17,PETROLEO
75.15,2023-05-16,PETROLEO
75.46,2023-05-15,PETROLEO
74.54,2023-05-12,PETROLEO
75.32,2023-05-11,PETROLEO
76.7,2023-05-10,PETROLEO
77.76,2023-05-09,PETROLEO
75.85,2023-05-05,PETROLEO
73.0,2023-05-04,PETROLEO
72.91,2023-05-03,PETROLEO
76.71,2023-05-02,PETROLEO
81.32,2023-04-28,PETROLEO
80.11,2023-04-27,PETROLEO
79.19,2023-04-26,PETROLEO
82.13,2023-04-25,PETROLEO
84.23,2023-04-24,PETROLEO
83.36,2023-04-21,PETROLEO
83.29,2023-04-20,PETROLEO
85.34,2023-04-19,PETROLEO
85.48,2023-04-18,PETROLEO
85.63,2023-04-17,PETROLEO
87.31,2023-04-14,PETROLEO
86.51,2023-04-13,PETROLEO
88.31,2023-04-12,PETROLEO
87.32,2023-04-11,PETROLEO
86.56,2023-04-10,PETROLEO
86.56,2023-04-06,PETROLEO
85.89,2023-04-05,PETROLEO
85.7,2023-04-04,PETROLEO
85.81,2023-04-03,PETROLEO
79.19,2023-03-31,PETROLEO
78.45,2023-03-30,PETROLEO
77.51,2023-03-29,PETROLEO
78.07,2023-03-28,PETROLEO
76.8,2023-03-27,PETROLEO
73.63,2023-03-24,PETROLEO
74.31,2023-03-23,PETROLEO
76.08,2023-03-22,PETROLEO
74.78,2023-03-21,PETROLEO
72.42,2023-03-20,PETROLEO
71.03,2023-03-17,PETROLEO
73.12,2023-03-16,PETROLEO
74.3,2023-03-15,PETROLEO
76.77,2023-03-14,PETROLEO
79.67,2023-03-13,PETROLEO
82.3,2023-03-10,PETROLEO
81.0,2023-03-09,PETROLEO
82.1,2023-03-08,PETROLEO
83.03,2023-03-07,PETROLEO
85.86,2023-03-06,PETROLEO
85.74,2023-03-03,PETROLEO
84.15,2023-03-02,PETROLEO
83.68,2023-03-01,PETROLEO
83.21,2023-02-28,PETROLEO
